Id,Make,Model,Year,PricePerDay
1,Toyota,Camry,2022,40
2,Honda,Civic,2021,35
4,Chevrolet,Malibu,2022,45
6,Hyundai,Sonata,2021,38
7,Subaru,Legacy,2022,42
9,Chrysler,300,2021,50
10,BMW,3 Series,2022,60
13,Lexus,ES,2022,70
15,Kia,Optima,2021,36
16,Volkswagen,Passat,2022,46
18,Infiniti,Q50,2021,55
19,Acura,TLX,2022,58
21,Lincoln,MKZ,2021,52
22,Buick,Regal,2022,48
25,Land Rover,Discovery Sport,2022,75
27,Mini,Cooper,2021,44
28,Alfa Romeo,Guilia,2022,65
31,Chevrolet,Cruze,2022,39
34,Honda,Accord,2022,50
36,Hyundai,Elantra,2021,32
37,Subaru,Impreza,2022,42
39,Kia,Forte,2021,35
40,Volkswagen,Jetta,2022,44
43,Acura,ILX,2022,52
46,Buick,Verano,2022,45
49,Land Rover,Range Rover Evoque,2022,80
